"","periodo","periodo_fecha","precios"
"376","2022-1","1/01/2022",4.89e+08
"377","2022-1","1/01/2022",159253000
"378","2022-1","1/01/2022",324088166
"379","2022-1","1/01/2022",404398310
"380","2022-1","1/01/2022",968711500
"381","2022-1","1/01/2022",429700000
"382","2022-1","1/01/2022",457438000
"383","2022-1","1/01/2022",357352000
"384","2022-1","1/01/2022",355132000
"385","2022-1","1/01/2022",191790000
"386","2022-1","1/01/2022",5.15e+08
"387","2022-1","1/01/2022",588500000
"388","2022-1","1/01/2022",366208000
"389","2022-1","1/01/2022",69041000
"390","2022-1","1/01/2022",1.198e+09
"391","2022-1","1/01/2022",311830000
"392","2022-1","1/01/2022",801242000
"393","2022-1","1/01/2022",625151000
"394","2022-1","1/01/2022",563395000
"395","2022-1","1/01/2022",1600460000
"396","2022-1","1/01/2022",1441100000
"397","2022-1","1/01/2022",694325000
"398","2022-1","1/01/2022",333680000
"399","2022-1","1/01/2022",144800000
"400","2022-1","1/01/2022",2e+08
"401","2022-1","1/01/2022",451500000
"402","2022-1","1/01/2022",148837500
"403","2022-1","1/01/2022",652467100
"404","2022-1","1/01/2022",334525400
"405","2022-1","1/01/2022",567443826
"406","2022-1","1/01/2022",948670320
"407","2022-1","1/01/2022",2.25e+08
"408","2022-1","1/01/2022",1.434e+09
"409","2022-1","1/01/2022",1.741e+09
"410","2022-1","1/01/2022",2.566e+09
"411","2022-1","1/01/2022",1.54e+09
"412","2022-1","1/01/2022",2.74e+08
"413","2022-1","1/01/2022",383250000
"414","2022-1","1/01/2022",236900000
"415","2022-1","1/01/2022",5.8e+08
"416","2022-1","1/01/2022",502720000
"417","2022-1","1/01/2022",1303430625
"418","2022-1","1/01/2022",402913000
"419","2022-1","1/01/2022",307975000
"420","2022-1","1/01/2022",382475000
"421","2022-1","1/01/2022",435250000
"422","2022-1","1/01/2022",130304000
"423","2022-1","1/01/2022",405825500
"424","2022-1","1/01/2022",338195051
"425","2022-1","1/01/2022",399344299
"426","2022-1","1/01/2022",416545920
"427","2022-1","1/01/2022",236800000
"428","2022-1","1/01/2022",475523000
"429","2022-1","1/01/2022",602014500
"430","2022-1","1/01/2022",304137700
"431","2022-1","1/01/2022",847953950
"432","2022-1","1/01/2022",5455648000
"433","2022-1","1/01/2022",429316000
"434","2022-1","1/01/2022",205800000
"435","2022-1","1/01/2022",385500000
"436","2022-1","1/01/2022",142491380
"437","2022-1","1/01/2022",344649000
"438","2022-1","1/01/2022",1303430625
"439","2022-1","1/01/2022",292779000
"440","2022-1","1/01/2022",313590000
"441","2022-1","1/01/2022",212200000
"442","2022-1","1/01/2022",491930000
"443","2022-1","1/01/2022",224512000
"444","2022-1","1/01/2022",281368000
"445","2022-1","1/01/2022",2.63e+08
"446","2022-1","1/01/2022",206794200
"447","2022-1","1/01/2022",306021500
"448","2022-1","1/01/2022",698642000
"449","2022-1","1/01/2022",163803750
"450","2022-1","1/01/2022",1438500000
"451","2022-1","1/01/2022",299900000
"452","2022-1","1/01/2022",307566000
"453","2022-1","1/01/2022",279100000
"454","2022-1","1/01/2022",652585000
"455","2022-1","1/01/2022",3.29e+08
"456","2022-1","1/01/2022",126787500
"457","2022-1","1/01/2022",449162000
"458","2022-1","1/01/2022",604182000
"459","2022-1","1/01/2022",1.5e+08
"460","2022-1","1/01/2022",1.8e+08
"461","2022-1","1/01/2022",583861400
"462","2022-1","1/01/2022",273147000
"463","2022-1","1/01/2022",93739000
"464","2022-1","1/01/2022",421701000
"465","2022-1","1/01/2022",147400000
"466","2022-1","1/01/2022",694900000
"467","2022-1","1/01/2022",2.45e+08
"468","2022-1","1/01/2022",135900000
"469","2022-1","1/01/2022",265873000
"470","2022-1","1/01/2022",674462000
"471","2022-1","1/01/2022",1.25e+08
"472","2022-1","1/01/2022",129590000
"473","2022-1","1/01/2022",1.25e+08
"474","2022-1","1/01/2022",2.3e+08
"475","2022-1","1/01/2022",233990000
"476","2022-1","1/01/2022",1.5e+08
"477","2022-1","1/01/2022",341259000
"478","2022-1","1/01/2022",415186000
"479","2022-1","1/01/2022",328913000
"480","2022-1","1/01/2022",8.53e+08
"481","2022-1","1/01/2022",350990000
"482","2022-1","1/01/2022",1116516000
